Current default_params (after autoresearch)
profit	50
stop_ticks	35
min_bar_size_ticks	1
bars_between_trades	1
long_entry_offset	2
short_entry_offset	0
tfc_threshold	4
skip_tf_count	0
trade_window	10:00-11:30
monday	True
tuesday	True
wednesday	True
thursday	True
friday	True

Generation Log

gen	timestamp	sharpe	net_pnl	trades	win_rate	param_changed	old_value	new_value	kept
0	2026-03-20 19:57:35	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:00:32	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:02:41	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:03:35	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:10:17	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:16:36	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
0	2026-03-20 20:18:14	-0.4408	-7701.9	55.0	0.6909	baseline	-	-	yes
1	2026-03-20 20:18:20	-0.3951	-7561.9	55.0	0.6545	profit	40	50	yes
2	2026-03-20 20:18:28	-0.3951	-7561.9	55.0	0.6545	min_bar_size_ticks	4	6	no
3	2026-03-20 20:18:35	-0.5925	-17351.1	145.0	0.6414	tfc_threshold	4	2	no
4	2026-03-20 20:18:41	-0.4412	-8053.94	53.0	0.6415	bars_between_trades	2	3	no
5	2026-03-20 20:18:48	-0.3856	-5196.3	35.0	0.6286	trade_window	10:00-11:30	09:30-10:30	yes
6	2026-03-20 20:18:54	-0.4158	-5412.32	34.0	0.6176	long_entry_offset	1	0	no
7	2026-03-20 20:19:02	-0.2899	-4096.3	35.0	0.6286	profit	50	60	yes
8	2026-03-20 20:19:08	-0.2099	-2985.3	35.0	0.6	profit	60	80	yes
9	2026-03-20 20:19:15	-0.3856	-5196.3	35.0	0.6286	profit	80	50	no
0	2026-03-20 20:21:41	-0.1639	-4127.52	74.0	0.6351	baseline	-	-	yes
0	2026-03-20 20:24:03	-0.1639	-4127.52	74.0	0.6351	baseline	-	-	yes
1	2026-03-20 20:24:09	-0.3725	-8079.52	74.0	0.6622	profit	80	50	no
2	2026-03-20 20:24:14	-0.2489	-5629.52	74.0	0.6622	profit	80	60	no
3	2026-03-20 20:24:21	-0.2099	-2985.3	35.0	0.6	tfc_threshold	3	4	no
4	2026-03-20 20:24:27	-0.1639	-4127.52	74.0	0.6351	min_bar_size_ticks	4	6	no
5	2026-03-20 20:24:33	-0.2364	-5711.6	70.0	0.6143	bars_between_trades	2	3	no
6	2026-03-20 20:24:39	-0.7091	-15558.04	98.0	0.5306	trade_window	09:30-10:30	10:00-11:30	no
7	2026-03-20 20:24:45	-0.1808	-4463.54	73.0	0.6301	long_entry_offset	1	0	no
8	2026-03-20 20:24:51	-0.1795	-4448.54	73.0	0.6301	short_entry_offset	1	0	no
9	2026-03-20 20:24:57	-0.2099	-2985.3	35.0	0.6	skip_tf_count	0	1	no
10	2026-03-20 20:25:04	-0.1092	-2760.4	80.0	0.65	bars_between_trades	2	1	yes
11	2026-03-20 20:25:10	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
12	2026-03-20 20:25:17	-0.1664	-3853.4	80.0	0.6875	profit	80	60	no
13	2026-03-20 20:25:23	-0.3008	-6603.4	80.0	0.6875	profit	80	50	no
14	2026-03-20 20:25:29	-1.075	-5383.44	28.0	0.5	tfc_threshold	3	2	no
15	2026-03-20 20:25:35	-0.1092	-2760.4	80.0	0.65	min_bar_size_ticks	4	2	no
19	2026-03-20 20:25:43	-0.1639	-4127.52	74.0	0.6351	bars_between_trades	1	2	no
20	2026-03-20 20:25:49	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
21	2026-03-20 20:25:55	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	1	0	no
22	2026-03-20 20:26:01	-0.1238	-3081.42	79.0	0.6456	short_entry_offset	1	0	no
23	2026-03-20 20:26:08	-0.0983	-2429.38	81.0	0.6543	long_entry_offset	1	2	yes
24	2026-03-20 20:26:14	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
25	2026-03-20 20:26:21	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
26	2026-03-20 20:26:27	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
27	2026-03-20 20:26:34	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
28	2026-03-20 20:26:40	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
29	2026-03-20 20:26:46	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
30	2026-03-20 20:26:51	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
31	2026-03-20 20:26:57	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
32	2026-03-20 20:27:03	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
33	2026-03-20 20:27:09	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
34	2026-03-20 20:27:15	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
35	2026-03-20 20:27:21	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
36	2026-03-20 20:27:27	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
37	2026-03-20 20:27:33	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
38	2026-03-20 20:27:39	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
39	2026-03-20 20:27:45	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
40	2026-03-20 20:27:51	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
41	2026-03-20 20:27:57	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
42	2026-03-20 20:28:02	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
43	2026-03-20 20:28:08	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
44	2026-03-20 20:28:14	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
45	2026-03-20 20:28:20	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
46	2026-03-20 20:28:31	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
47	2026-03-20 20:28:38	nan	nan	nan	nan	trade_window	09:30-10:30	13:00-14:30	no
48	2026-03-20 20:28:44	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
49	2026-03-20 20:28:50	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
50	2026-03-20 20:28:56	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
51	2026-03-20 20:29:02	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
52	2026-03-20 20:29:08	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
53	2026-03-20 20:29:14	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
54	2026-03-20 20:29:20	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
55	2026-03-20 20:29:26	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
56	2026-03-20 20:29:32	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
57	2026-03-20 20:29:38	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
58	2026-03-20 20:29:44	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
59	2026-03-20 20:29:50	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
60	2026-03-20 20:29:56	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
61	2026-03-20 20:30:02	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
62	2026-03-20 20:30:09	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
